2022-12-20 21:12:719 INFO  ManageDriver :33 - Launching Chrome Browser
2022-12-20 21:12:993 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (cd35d0b7ce74a53a64df4e48860a2ed6)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-12-20 21:12:914 INFO  HomePage :34 - clickOnSearchCar : [[ChromeDriver: chrome on WINDOWS (cd35d0b7ce74a53a64df4e48860a2ed6)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-12-20 21:12:938 INFO  HomePage :41 - newAndUsedCarText : [[ChromeDriver: chrome on WINDOWS (cd35d0b7ce74a53a64df4e48860a2ed6)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-12-20 21:12:79 INFO  HomePage :47 - clickOnMake : [[ChromeDriver: chrome on WINDOWS (cd35d0b7ce74a53a64df4e48860a2ed6)] -> xpath: //select[@id='makes']]
2022-12-20 21:12:177 INFO  HomePage :52 - clickOnModel : [[ChromeDriver: chrome on WINDOWS (cd35d0b7ce74a53a64df4e48860a2ed6)] -> xpath: //select[@id='models']]
2022-12-20 21:12:315 INFO  HomePage :57 - clickOnLocation : [[ChromeDriver: chrome on WINDOWS (cd35d0b7ce74a53a64df4e48860a2ed6)] -> xpath: //select[@id='locations']]
2022-12-20 21:12:457 INFO  HomePage :62 - clickOnprice : [[ChromeDriver: chrome on WINDOWS (cd35d0b7ce74a53a64df4e48860a2ed6)] -> xpath: //select[@id='priceTo']]
2022-12-20 21:12:399 INFO  HomePage :67 - clickOnFindMyNextCar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2022-12-20 21:12:435 INFO  HomePage :71 - resultText : [[ChromeDriver: chrome on WINDOWS (cd35d0b7ce74a53a64df4e48860a2ed6)] -> css selector: div.container.search-results-container:nth-child(4) div.search-results-page.ng-scope:nth-child(1) div.row div.listing-col.listing-col-title.col-sm-16.col-md-12.col-lg-13.col.location-set:nth-child(3) > h1.listing-search-title]
2022-12-20 21:12:579 INFO  ManageDriver :33 - Launching Chrome Browser
2022-12-20 21:12:801 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (6e7ee92fa437d81cd0801e25fd464863)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-12-20 21:12:80 INFO  HomePage :34 - clickOnSearchCar : [[ChromeDriver: chrome on WINDOWS (6e7ee92fa437d81cd0801e25fd464863)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-12-20 21:12:109 INFO  HomePage :41 - newAndUsedCarText : [[ChromeDriver: chrome on WINDOWS (6e7ee92fa437d81cd0801e25fd464863)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-12-20 21:12:274 INFO  HomePage :47 - clickOnMake : [[ChromeDriver: chrome on WINDOWS (6e7ee92fa437d81cd0801e25fd464863)] -> xpath: //select[@id='makes']]
2022-12-20 21:12:421 INFO  HomePage :52 - clickOnModel : [[ChromeDriver: chrome on WINDOWS (6e7ee92fa437d81cd0801e25fd464863)] -> xpath: //select[@id='models']]
2022-12-20 21:12:618 INFO  HomePage :57 - clickOnLocation : [[ChromeDriver: chrome on WINDOWS (6e7ee92fa437d81cd0801e25fd464863)] -> xpath: //select[@id='locations']]
2022-12-20 21:12:776 INFO  HomePage :62 - clickOnprice : [[ChromeDriver: chrome on WINDOWS (6e7ee92fa437d81cd0801e25fd464863)] -> xpath: //select[@id='priceTo']]
2022-12-20 21:12:354 INFO  HomePage :67 - clickOnFindMyNextCar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2022-12-20 21:12:374 INFO  HomePage :71 - resultText : [[ChromeDriver: chrome on WINDOWS (6e7ee92fa437d81cd0801e25fd464863)] -> css selector: div.container.search-results-container:nth-child(4) div.search-results-page.ng-scope:nth-child(1) div.row div.listing-col.listing-col-title.col-sm-16.col-md-12.col-lg-13.col.location-set:nth-child(3) > h1.listing-search-title]
2022-12-20 22:12:657 INFO  ManageDriver :33 - Launching Chrome Browser
2022-12-20 22:12:567 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-12-20 22:12:73 INFO  HomePage :33 - feaching dealer :[[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']]]
2022-12-20 22:12:970 INFO  HomePage :44 - Click on Next Button :[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //span[contains(text(),'Next')]]
2022-12-20 22:12:988 INFO  HomePage :33 - feaching dealer :[[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']]]
